------------------------------------------------------------------------------------------------------------------------------------------------------
PID                 Executed Processing Time      PC                  State               I/O                 CPU                 Transition
4                   803                           804                 WAITING             43                  43                  WAITING -> WAITING
5                   873                           874                 READY               41                  41                  WAITING -> READY
6                   569                           570                 WAITING             27                  27                  WAITING -> WAITING
7                   747                           748                 WAITING             39                  39                  WAITING -> WAITING
8                   737                           738                 RUNNING             38                  39                  READY -> RUNNING
8                   777                           778                 WAITING             39                  39                  RUNNING -> WAITING
9                   750                           751                 READY               39                  39                  WAITING -> READY
0                   1033                          1034                WAITING             46                  46                  WAITING -> WAITING
1                   541                           542                 WAITING             31                  31                  WAITING -> WAITING
2                   582                           583                 WAITING             29                  29                  WAITING -> WAITING
3                   782                           783                 RUNNING             36                  37                  READY -> RUNNING
3                   806                           807                 WAITING             37                  37                  RUNNING -> WAITING
4                   803                           804                 READY               43                  43                  WAITING -> READY
5                   873                           874                 RUNNING             41                  42                  READY -> RUNNING
5                   886                           887                 WAITING             42                  42                  RUNNING -> WAITING
6                   569                           570                 WAITING             27                  27                  WAITING -> WAITING
7                   747                           748                 WAITING             39                  39                  WAITING -> WAITING
8                   777                           778                 WAITING             39                  39                  WAITING -> WAITING
9                   750                           751                 RUNNING             39                  40                  READY -> RUNNING
9                   766                           767                 WAITING             40                  40                  RUNNING -> WAITING
0                   1033                          1034                WAITING             46                  46                  WAITING -> WAITING
1                   541                           542                 WAITING             31                  31                  WAITING -> WAITING
2                   582                           583                 READY               29                  29                  WAITING -> READY
3                   806                           807                 READY               37                  37                  WAITING -> READY
4                   803                           804                 RUNNING             43                  44                  READY -> RUNNING
4                   843                           844                 WAITING             44                  44                  RUNNING -> WAITING
5                   886                           887                 READY               42                  42                  WAITING -> READY
6                   569                           570                 READY               27                  27                  WAITING -> READY
7                   747                           748                 WAITING             39                  39                  WAITING -> WAITING
8                   777                           778                 WAITING             39                  39                  WAITING -> WAITING
9                   766                           767                 WAITING             40                  40                  WAITING -> WAITING
0                   1033                          1034                WAITING             46                  46                  WAITING -> WAITING
1                   541                           542                 WAITING             31                  31                  WAITING -> WAITING
2                   582                           583                 RUNNING             29                  30                  READY -> RUNNING
2                   596                           597                 WAITING             30                  30                  RUNNING -> WAITING
3                   806                           807                 RUNNING             37                  38                  READY -> RUNNING
3                   838                           839                 WAITING             38                  38                  RUNNING -> WAITING
4                   843                           844                 WAITING             44                  44                  WAITING -> WAITING
5                   886                           887                 RUNNING             42                  43                  READY -> RUNNING
5                   898                           899                 WAITING             43                  43                  RUNNING -> WAITING
6                   569                           570                 RUNNING             27                  28                  READY -> RUNNING
6                   606                           607                 WAITING             28                  28                  RUNNING -> WAITING
7                   747                           748                 READY               39                  39                  WAITING -> READY
8                   777                           778                 WAITING             39                  39                  WAITING -> WAITING
9                   766                           767                 READY               40                  40                  WAITING -> READY
0                   1033                          1034                READY               46                  46                  WAITING -> READY
1                   541                           542                 WAITING             31                  31                  WAITING -> WAITING
2                   596                           597                 WAITING             30                  30                  WAITING -> WAITING
3                   838                           839                 WAITING             38                  38                  WAITING -> WAITING
4                   843                           844                 WAITING             44                  44                  WAITING -> WAITING
5                   898                           899                 WAITING             43                  43                  WAITING -> WAITING
6                   606                           607                 READY               28                  28                  WAITING -> READY
7                   747                           748                 RUNNING             39                  40                  READY -> RUNNING
7                   776                           777                 WAITING             40                  40                  RUNNING -> WAITING
8                   777                           778                 READY               39                  39                  WAITING -> READY
9                   766                           767                 RUNNING             40                  41                  READY -> RUNNING
9                   799                           800                 WAITING             41                  41                  RUNNING -> WAITING
0                   1033                          1034                RUNNING             46                  47                  READY -> RUNNING
0                   1038                          1039                WAITING             47                  47                  RUNNING -> WAITING
1                   541                           542                 WAITING             31                  31                  WAITING -> WAITING
2                   596                           597                 READY               30                  30                  WAITING -> READY
3                   838                           839                 WAITING             38                  38                  WAITING -> WAITING
4                   843                           844                 WAITING             44                  44                  WAITING -> WAITING
5                   898                           899                 READY               43                  43                  WAITING -> READY
6                   606                           607                 RUNNING             28                  29                  READY -> RUNNING
6                   621                           622                 WAITING             29                  29                  RUNNING -> WAITING
7                   776                           777                 WAITING             40                  40                  WAITING -> WAITING
8                   777                           778                 RUNNING             39                  40                  READY -> RUNNING
8                   819                           820                 WAITING             40                  40                  RUNNING -> WAITING
9                   799                           800                 WAITING             41                  41                  WAITING -> WAITING
0                   1038                          1039                READY               47                  47                  WAITING -> READY
1                   541                           542                 READY               31                  31                  WAITING -> READY
2                   596                           597                 RUNNING             30                  31                  READY -> RUNNING
2                   623                           624                 WAITING             31                  31                  RUNNING -> WAITING
3                   838                           839                 WAITING             38                  38                  WAITING -> WAITING
4                   843                           844                 WAITING             44                  44                  WAITING -> WAITING
5                   898                           899                 RUNNING             43                  44                  READY -> RUNNING
5                   930                           931                 WAITING             44                  44                  RUNNING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   776                           777                 READY               40                  40                  WAITING -> READY
8                   819                           820                 READY               40                  40                  WAITING -> READY
9                   799                           800                 WAITING             41                  41                  WAITING -> WAITING
0                   1038                          1039                RUNNING             47                  48                  READY -> RUNNING
0                   1062                          1063                WAITING             48                  48                  RUNNING -> WAITING
1                   541                           542                 RUNNING             31                  32                  READY -> RUNNING
1                   546                           547                 WAITING             32                  32                  RUNNING -> WAITING
2                   623                           624                 READY               31                  31                  WAITING -> READY
3                   838                           839                 WAITING             38                  38                  WAITING -> WAITING
4                   843                           844                 WAITING             44                  44                  WAITING -> WAITING
5                   930                           931                 WAITING             44                  44                  WAITING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   776                           777                 RUNNING             40                  41                  READY -> RUNNING
7                   825                           826                 WAITING             41                  41                  RUNNING -> WAITING
8                   819                           820                 RUNNING             40                  41                  READY -> RUNNING
8                   830                           831                 WAITING             41                  41                  RUNNING -> WAITING
9                   799                           800                 WAITING             41                  41                  WAITING -> WAITING
0                   1062                          1063                WAITING             48                  48                  WAITING -> WAITING
1                   546                           547                 READY               32                  32                  WAITING -> READY
2                   623                           624                 RUNNING             31                  32                  READY -> RUNNING
2                   626                           627                 WAITING             32                  32                  RUNNING -> WAITING
3                   838                           839                 READY               38                  38                  WAITING -> READY
4                   843                           844                 WAITING             44                  44                  WAITING -> WAITING
5                   930                           931                 WAITING             44                  44                  WAITING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   825                           826                 READY               41                  41                  WAITING -> READY
8                   830                           831                 WAITING             41                  41                  WAITING -> WAITING
9                   799                           800                 WAITING             41                  41                  WAITING -> WAITING
0                   1062                          1063                WAITING             48                  48                  WAITING -> WAITING
1                   546                           547                 RUNNING             32                  33                  READY -> RUNNING
1                   554                           555                 WAITING             33                  33                  RUNNING -> WAITING
2                   626                           627                 WAITING             32                  32                  WAITING -> WAITING
3                   838                           839                 RUNNING             38                  39                  READY -> RUNNING
3                   851                           852                 WAITING             39                  39                  RUNNING -> WAITING
4                   843                           844                 READY               44                  44                  WAITING -> READY
5                   930                           931                 READY               44                  44                  WAITING -> READY
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   825                           826                 RUNNING             41                  42                  READY -> RUNNING
7                   833                           834                 WAITING             42                  42                  RUNNING -> WAITING
8                   830                           831                 WAITING             41                  41                  WAITING -> WAITING
9                   799                           800                 READY               41                  41                  WAITING -> READY
0                   1062                          1063                READY               48                  48                  WAITING -> READY
1                   554                           555                 WAITING             33                  33                  WAITING -> WAITING
2                   626                           627                 READY               32                  32                  WAITING -> READY
3                   851                           852                 READY               39                  39                  WAITING -> READY
4                   843                           844                 RUNNING             44                  45                  READY -> RUNNING
4                   844                           845                 WAITING             45                  45                  RUNNING -> WAITING
5                   930                           931                 RUNNING             44                  45                  READY -> RUNNING
5                   959                           960                 WAITING             45                  45                  RUNNING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   830                           831                 WAITING             41                  41                  WAITING -> WAITING
9                   799                           800                 RUNNING             41                  42                  READY -> RUNNING
9                   831                           832                 WAITING             42                  42                  RUNNING -> WAITING
0                   1062                          1063                RUNNING             48                  49                  READY -> RUNNING
0                   1112                          1113                WAITING             49                  49                  RUNNING -> WAITING
1                   554                           555                 WAITING             33                  33                  WAITING -> WAITING
2                   626                           627                 RUNNING             32                  33                  READY -> RUNNING
2                   642                           643                 WAITING             33                  33                  RUNNING -> WAITING
3                   851                           852                 RUNNING             39                  40                  READY -> RUNNING
3                   854                           855                 WAITING             40                  40                  RUNNING -> WAITING
4                   844                           845                 WAITING             45                  45                  WAITING -> WAITING
5                   959                           960                 WAITING             45                  45                  WAITING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   830                           831                 WAITING             41                  41                  WAITING -> WAITING
9                   831                           832                 WAITING             42                  42                  WAITING -> WAITING
0                   1112                          1113                WAITING             49                  49                  WAITING -> WAITING
1                   554                           555                 READY               33                  33                  WAITING -> READY
2                   642                           643                 READY               33                  33                  WAITING -> READY
3                   854                           855                 WAITING             40                  40                  WAITING -> WAITING
4                   844                           845                 WAITING             45                  45                  WAITING -> WAITING
5                   959                           960                 READY               45                  45                  WAITING -> READY
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   830                           831                 WAITING             41                  41                  WAITING -> WAITING
9                   831                           832                 WAITING             42                  42                  WAITING -> WAITING
0                   1112                          1113                WAITING             49                  49                  WAITING -> WAITING
1                   554                           555                 RUNNING             33                  34                  READY -> RUNNING
1                   580                           581                 WAITING             34                  34                  RUNNING -> WAITING
2                   642                           643                 RUNNING             33                  34                  READY -> RUNNING
2                   661                           662                 WAITING             34                  34                  RUNNING -> WAITING
3                   854                           855                 READY               40                  40                  WAITING -> READY
4                   844                           845                 WAITING             45                  45                  WAITING -> WAITING
5                   959                           960                 RUNNING             45                  46                  READY -> RUNNING
5                   985                           986                 WAITING             46                  46                  RUNNING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   830                           831                 READY               41                  41                  WAITING -> READY
9                   831                           832                 READY               42                  42                  WAITING -> READY
0                   1112                          1113                WAITING             49                  49                  WAITING -> WAITING
1                   580                           581                 READY               34                  34                  WAITING -> READY
2                   661                           662                 WAITING             34                  34                  WAITING -> WAITING
3                   854                           855                 RUNNING             40                  41                  READY -> RUNNING
3                   898                           899                 WAITING             41                  41                  RUNNING -> WAITING
4                   844                           845                 READY               45                  45                  WAITING -> READY
5                   985                           986                 READY               46                  46                  WAITING -> READY
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   830                           831                 RUNNING             41                  42                  READY -> RUNNING
8                   853                           854                 WAITING             42                  42                  RUNNING -> WAITING
9                   831                           832                 RUNNING             42                  43                  READY -> RUNNING
9                   840                           841                 WAITING             43                  43                  RUNNING -> WAITING
0                   1112                          1113                READY               49                  49                  WAITING -> READY
1                   580                           581                 RUNNING             34                  35                  READY -> RUNNING
1                   600                           601                 WAITING             35                  35                  RUNNING -> WAITING
2                   661                           662                 WAITING             34                  34                  WAITING -> WAITING
3                   898                           899                 WAITING             41                  41                  WAITING -> WAITING
4                   844                           845                 RUNNING             45                  46                  READY -> RUNNING
4                   853                           854                 WAITING             46                  46                  RUNNING -> WAITING
5                   985                           986                 RUNNING             46                  47                  READY -> RUNNING
5                   997                           998                 WAITING             47                  47                  RUNNING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   853                           854                 READY               42                  42                  WAITING -> READY
9                   840                           841                 WAITING             43                  43                  WAITING -> WAITING
0                   1112                          1113                RUNNING             49                  50                  READY -> RUNNING
0                   1126                          1127                WAITING             50                  50                  RUNNING -> WAITING
1                   600                           601                 WAITING             35                  35                  WAITING -> WAITING
2                   661                           662                 READY               34                  34                  WAITING -> READY
3                   898                           899                 WAITING             41                  41                  WAITING -> WAITING
4                   853                           854                 WAITING             46                  46                  WAITING -> WAITING
5                   997                           998                 WAITING             47                  47                  WAITING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 WAITING             42                  42                  WAITING -> WAITING
8                   853                           854                 RUNNING             42                  43                  READY -> RUNNING
8                   857                           858                 WAITING             43                  43                  RUNNING -> WAITING
9                   840                           841                 WAITING             43                  43                  WAITING -> WAITING
0                   1126                          1127                WAITING             50                  50                  WAITING -> WAITING
1                   600                           601                 WAITING             35                  35                  WAITING -> WAITING
2                   661                           662                 RUNNING             34                  35                  READY -> RUNNING
2                   671                           672                 WAITING             35                  35                  RUNNING -> WAITING
3                   898                           899                 WAITING             41                  41                  WAITING -> WAITING
4                   853                           854                 WAITING             46                  46                  WAITING -> WAITING
5                   997                           998                 WAITING             47                  47                  WAITING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 READY               42                  42                  WAITING -> READY
8                   857                           858                 READY               43                  43                  WAITING -> READY
9                   840                           841                 WAITING             43                  43                  WAITING -> WAITING
0                   1126                          1127                WAITING             50                  50                  WAITING -> WAITING
1                   600                           601                 WAITING             35                  35                  WAITING -> WAITING
2                   671                           672                 WAITING             35                  35                  WAITING -> WAITING
3                   898                           899                 WAITING             41                  41                  WAITING -> WAITING
4                   853                           854                 READY               46                  46                  WAITING -> READY
5                   997                           998                 WAITING             47                  47                  WAITING -> WAITING
6                   621                           622                 WAITING             29                  29                  WAITING -> WAITING
7                   833                           834                 RUNNING             42                  43                  READY -> RUNNING
7                   851                           852                 WAITING             43                  43                  RUNNING -> WAITING
8                   857                           858                 RUNNING             43                  44                  READY -> RUNNING
8                   878                           879                 WAITING             44                  44                  RUNNING -> WAITING
9                   840                           841                 WAITING             43                  43                  WAITING -> WAITING
0                   1126                          1127                READY               50                  50                  WAITING -> READY
1                   600                           601                 WAITING             35                  35                  WAITING -> WAITING
2                   671                           672                 WAITING             35                  35                  WAITING -> WAITING
3                   898                           899                 WAITING             41                  41                  WAITING -> WAITING
4                   853                           854                 RUNNING             46                  47                  READY -> RUNNING
4                   865                           866                 WAITING             47                  47                  RUNNING -> WAITING
5                   997                           998                 WAITING             47                  47                  WAITING -> WAITING
6                   621                           622                 READY               29                  29                  WAITING -> READY
7                   851                           852                 WAITING             43                  43                  WAITING -> WAITING
8                   878                           879                 WAITING             44                  44                  WAITING -> WAITING
9                   840                           841                 READY               43                  43                  WAITING -> READY
0                   1126                          1127                RUNNING             50                  51                  READY -> RUNNING
0                   1141                          1142                WAITING             51                  51                  RUNNING -> WAITING
1                   600                           601                 READY               35                  35                  WAITING -> READY
2                   671                           672                 WAITING             35                  35                  WAITING -> WAITING
3                   898                           899                 WAITING             41                  41                  WAITING -> WAITING
4                   865                           866                 WAITING             47                  47                  WAITING -> WAITING
5                   997                           998                 READY               47                  47                  WAITING -> READY
6                   621                           622                 RUNNING             29                  30                  READY -> RUNNING
6                   631                           632                 WAITING             30                  30                  RUNNING -> WAITING
7                   851                           852                 WAITING             43                  43                  WAITING -> WAITING
8                   878                           879                 WAITING             44                  44                  WAITING -> WAITING
9                   840                           841                 RUNNING             43                  44                  READY -> RUNNING
9                   847                           848                 WAITING             44                  44                  RUNNING -> WAITING
0                   1141                          1142                READY               51                  51                  WAITING -> READY
1                   600                           601                 RUNNING             35                  36                  READY -> RUNNING
1                   680                           681                 WAITING             36                  36                  RUNNING -> WAITING
2                   671                           672                 READY               35                  35                  WAITING -> READY
3                   898                           899                 READY               41                  41                  WAITING -> READY
4                   865                           866                 READY               47                  47                  WAITING -> READY
5                   997                           998                 RUNNING             47                  48                  READY -> RUNNING
5                   1021                          1022                WAITING             48                  48                  RUNNING -> WAITING
6                   631                           632                 READY               30                  30                  WAITING -> READY
7                   851                           852                 WAITING             43                  43                  WAITING -> WAITING
8                   878                           879                 WAITING             44                  44                  WAITING -> WAITING
9                   847                           848                 WAITING             44                  44                  WAITING -> WAITING
0                   1141                          1142                RUNNING             51                  52                  READY -> RUNNING
0                   1147                          1148                WAITING             52                  52                  RUNNING -> WAITING
1                   680                           681                 READY               36                  36                  WAITING -> READY
2                   671                           672                 RUNNING             35                  36                  READY -> RUNNING
2                   705                           706                 WAITING             36                  36                  RUNNING -> WAITING
3                   898                           899                 RUNNING             41                  42                  READY -> RUNNING
3                   902                           903                 WAITING             42                  42                  RUNNING -> WAITING
4                   865                           866                 RUNNING             47                  48                  READY -> RUNNING
4                   890                           891                 WAITING             48                  48                  RUNNING -> WAITING
5                   1021                          1022                READY               48                  48                  WAITING -> READY
6                   631                           632                 RUNNING             30                  31                  READY -> RUNNING
6                   632                           633                 WAITING             31                  31                  RUNNING -> WAITING
7                   851                           852                 WAITING             43                  43                  WAITING -> WAITING
8                   878                           879                 WAITING             44                  44                  WAITING -> WAITING
9                   847                           848                 READY               44                  44                  WAITING -> READY
0                   1147                          1148                READY               52                  52                  WAITING -> READY
1                   680                           681                 RUNNING             36                  37                  READY -> RUNNING
1                   705                           706                 WAITING             37                  37                  RUNNING -> WAITING
2                   705                           706                 READY               36                  36                  WAITING -> READY
3                   902                           903                 READY               42                  42                  WAITING -> READY
4                   890                           891                 READY               48                  48                  WAITING -> READY
5                   1021                          1022                RUNNING             48                  49                  READY -> RUNNING
5                   1033                          1034                WAITING             49                  49                  RUNNING -> WAITING
6                   632                           633                 READY               31                  31                  WAITING -> READY
7                   851                           852                 READY               43                  43                  WAITING -> READY
8                   878                           879                 WAITING             44                  44                  WAITING -> WAITING
9                   847                           848                 RUNNING             44                  45                  READY -> RUNNING
9                   859                           860                 WAITING             45                  45                  RUNNING -> WAITING
0                   1147                          1148                RUNNING             52                  53                  READY -> RUNNING
0                   1168                          1169                WAITING             53                  53                  RUNNING -> WAITING
1                   705                           706                 READY               37                  37                  WAITING -> READY
2                   705                           706                 RUNNING             36                  37                  READY -> RUNNING
2                   739                           740                 WAITING             37                  37                  RUNNING -> WAITING
3                   902                           903                 RUNNING             42                  43                  READY -> RUNNING
3                   903                           904                 WAITING             43                  43                  RUNNING -> WAITING
4                   890                           891                 RUNNING             48                  49                  READY -> RUNNING
4                   896                           897                 WAITING             49                  49                  RUNNING -> WAITING
5                   1033                          1034                WAITING             49                  49                  WAITING -> WAITING
